start_frame,end_frame,duration_ms,start_time,end_time
53,67,280.0ms,08:00:00.000,08:00:00.000
91,102,220.0ms,08:00:00.000,08:00:00.000
124,139,300.0ms,08:00:00.000,08:00:00.000
291,308,340.0ms,08:00:00.000,08:00:00.000
464,490,520.0ms,08:00:00.000,08:00:00.000
874,889,300.0ms,08:00:00.000,08:00:00.000
948,990,840.0ms,08:00:00.000,08:00:00.000
1361,1378,340.0ms,08:00:00.000,08:00:00.000
2596,2615,380.0ms,08:00:00.000,08:00:00.000
3874,3886,240.0ms,08:00:00.000,08:00:00.000
4456,4476,400.0ms,08:00:00.000,08:00:00.000
4552,4578,520.0ms,08:00:00.000,08:00:00.000
